日期维度,业务大类,业务,产品,城市,金额区间,交易笔数,交易金额
2025/1/1,惠居,省心租,贝易转网银转账收款,西安,a <500,1,3
2025/1/1,惠居,省心租,微信小程序,西安,a <500,2,671.5
2025/1/1,惠居,省心租,支付宝APP,西安,a <500,2,687
2025/1/1,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,1,700
2025/1/1,惠居,省心租,快捷,西安,b 500-1000,3,2208
2025/1/1,惠居,省心租,支付宝花呗分期,西安,b 500-1000,1,761
2025/1/1,惠居,省心租,支付宝APP,西安,b 500-1000,9,5765.67
2025/1/1,惠居,省心租,微信小程序,西安,b 500-1000,8,5285
2025/1/1,惠居,省心租,聚分期,西安,c 1000-5000,2,4895
2025/1/1,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,25,55645.5
2025/1/1,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,4,7168
2025/1/1,惠居,省心租,快捷,西安,c 1000-5000,3,5177
2025/1/1,惠居,省心租,云闪付小程序,西安,c 1000-5000,5,11576
2025/1/1,惠居,省心租,支付宝APP,西安,c 1000-5000,253,553073.3
2025/1/1,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,15,29891
2025/1/1,惠居,省心租,微信小程序,西安,c 1000-5000,323,674291.12
2025/1/1,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,5559
2025/1/1,惠居,省心租,微信小程序,西安,d 5000-10000,23,159701.4
2025/1/1,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,2,11935.5
2025/1/1,惠居,省心租,支付宝APP,西安,d 5000-10000,31,217860.69
2025/1/1,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,4,27583.2
2025/1/1,惠居,省心租,快捷,西安,d 5000-10000,1,6600
2025/1/1,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,8250
2025/1/1,惠居,省心租,支付宝APP,西安,e 10000-20000,1,11880
2025/1/1,惠居,省心租,贝易转直联收款至银行,西安,e 10000-20000,1,11664
2025/1/1,惠居,省心租,微信小程序,西安,e 10000-20000,3,34650
2025/1/1,惠居,省心租,贝易转网银转账收款,西安,e 10000-20000,1,10464
2025/1/2,惠居,省心租,微信小程序,西安,a <500,1,289
2025/1/2,惠居,省心租,支付宝APP,西安,a <500,3,1027.4
2025/1/2,惠居,省心租,贝易转网银转账收款,西安,a <500,4,11
2025/1/2,惠居,省心租,微信小程序,西安,b 500-1000,16,11491.2
2025/1/2,惠居,省心租,快捷,西安,b 500-1000,1,968
2025/1/2,惠居,省心租,支付宝APP,西安,b 500-1000,12,8048.56
2025/1/2,惠居,省心租,支付宝APP,西安,c 1000-5000,259,557486.89
2025/1/2,惠居,省心租,云闪付小程序,西安,c 1000-5000,5,8561
2025/1/2,惠居,省心租,微信小程序,西安,c 1000-5000,294,616272.79
2025/1/2,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,6,13458.8
2025/1/2,惠居,省心租,快捷,西安,c 1000-5000,10,19240
2025/1/2,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,15,33399.2
2025/1/2,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,20,42452.26
2025/1/2,惠居,省心租,支付宝APP,西安,d 5000-10000,34,243580.47
2025/1/2,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,3,24177
2025/1/2,惠居,省心租,快捷,西安,d 5000-10000,2,12540
2025/1/2,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,2,14914
2025/1/2,惠居,省心租,聚分期,西安,d 5000-10000,1,5610
2025/1/2,惠居,省心租,微信小程序,西安,d 5000-10000,25,177646.98
2025/1/2,惠居,省心租,贝易转直联收款至银行,西安,e 10000-20000,1,12312
2025/1/2,惠居,省心租,支付宝APP,西安,e 10000-20000,3,34866
2025/1/2,惠居,省心租,微信小程序,西安,e 10000-20000,3,32043
2025/1/2,惠居,省心租,支付宝花呗分期,西安,e 10000-20000,1,10104.3
2025/1/3,惠居,省心租,支付宝APP,西安,a <500,5,1071.67
2025/1/3,惠居,省心租,微信小程序,西安,a <500,1,444
2025/1/3,惠居,省心租,贝易转网银转账收款,西安,a <500,5,15
2025/1/3,惠居,省心租,支付宝APP,西安,b 500-1000,10,6563
2025/1/3,惠居,省心租,微信小程序,西安,b 500-1000,11,7090
2025/1/3,惠居,省心租,云闪付小程序,西安,c 1000-5000,2,3910
2025/1/3,惠居,省心租,聚分期,西安,c 1000-5000,1,1375
2025/1/3,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,16,37756.9
2025/1/3,惠居,省心租,支付宝APP,西安,c 1000-5000,231,494219.84
2025/1/3,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,27,55795.17
2025/1/3,惠居,省心租,快捷,西安,c 1000-5000,5,12164.5
2025/1/3,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,6,15475
2025/1/3,惠居,省心租,微信小程序,西安,c 1000-5000,264,550271.6
2025/1/3,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,4,26832
2025/1/3,惠居,省心租,微信小程序,西安,d 5000-10000,19,141368.7
2025/1/3,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,4,29684.4
2025/1/3,惠居,省心租,支付宝APP,西安,d 5000-10000,22,143630.8
2025/1/3,惠居,省心租,微信小程序,西安,e 10000-20000,1,11016
2025/1/4,惠居,省心租,支付宝花呗分期,西安,a <500,1,216.67
2025/1/4,惠居,省心租,支付宝APP,西安,a <500,4,964.16
2025/1/4,惠居,省心租,微信小程序,西安,a <500,3,964.66
2025/1/4,惠居,省心租,支付宝APP,西安,b 500-1000,16,9780
2025/1/4,惠居,省心租,微信小程序,西安,b 500-1000,12,7574.34
2025/1/4,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,6,11402.4
2025/1/4,惠居,省心租,微信小程序,西安,c 1000-5000,315,675583
2025/1/4,惠居,省心租,支付宝APP,西安,c 1000-5000,216,474695.28
2025/1/4,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,17,32264
2025/1/4,惠居,省心租,云闪付小程序,西安,c 1000-5000,1,2770
2025/1/4,惠居,省心租,快捷,西安,c 1000-5000,17,34371
2025/1/4,惠居,省心租,聚分期,西安,c 1000-5000,1,2310
2025/1/4,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,20,43052.7
2025/1/4,惠居,省心租,聚分期,西安,d 5000-10000,1,5395.5
2025/1/4,惠居,省心租,快捷,西安,d 5000-10000,3,22563.6
2025/1/4,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,6012
2025/1/4,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,1,7776
2025/1/4,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,3,19884
2025/1/4,惠居,省心租,微信小程序,西安,d 5000-10000,28,198558.7
2025/1/4,惠居,省心租,支付宝APP,西安,d 5000-10000,24,184189.87
2025/1/4,惠居,省心租,支付宝APP,西安,e 10000-20000,3,31845
2025/1/4,惠居,省心租,微信小程序,西安,e 10000-20000,2,22652
2025/1/5,惠居,省心租,贝易转网银转账收款,西安,a <500,4,10
2025/1/5,惠居,省心租,微信小程序,西安,a <500,4,1401
2025/1/5,惠居,省心租,支付宝APP,西安,a <500,2,723.33
2025/1/5,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,2,1561.4
2025/1/5,惠居,省心租,微信小程序,西安,b 500-1000,8,5240
2025/1/5,惠居,省心租,快捷,西安,b 500-1000,1,500
2025/1/5,惠居,省心租,支付宝APP,西安,b 500-1000,2,1270
2025/1/5,惠居,省心租,微信APP,西安,c 1000-5000,1,1050
2025/1/5,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,7,14011
2025/1/5,惠居,省心租,云闪付小程序,西安,c 1000-5000,4,8438
2025/1/5,惠居,省心租,银联线上支付,西安,c 1000-5000,1,1175
2025/1/5,惠居,省心租,支付宝APP,西安,c 1000-5000,219,484867.64
2025/1/5,惠居,省心租,微信小程序,西安,c 1000-5000,330,680810.7
2025/1/5,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,14,25409.88
2025/1/5,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,17,38780.4
2025/1/5,惠居,省心租,快捷,西安,c 1000-5000,7,14676.5
2025/1/5,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,6600
2025/1/5,惠居,省心租,微信APP,西安,d 5000-10000,1,5580
2025/1/5,惠居,省心租,微信小程序,西安,d 5000-10000,31,216369.6
2025/1/5,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,2,13467
2025/1/5,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,1,9806.73
2025/1/5,惠居,省心租,支付宝APP,西安,d 5000-10000,25,169881.37
2025/1/5,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,5559
2025/1/5,惠居,省心租,微信小程序,西安,e 10000-20000,1,11340
2025/1/5,惠居,省心租,支付宝APP,西安,e 10000-20000,3,31752
2025/1/6,惠居,省心租,贝易转网银转账收款,西安,a <500,4,113
2025/1/6,惠居,省心租,支付宝APP,西安,a <500,1,100
2025/1/6,惠居,省心租,支付宝APP,西安,b 500-1000,12,8496.17
2025/1/6,惠居,省心租,贝易转网银转账收款,西安,b 500-1000,1,530
2025/1/6,惠居,省心租,微信小程序,西安,b 500-1000,14,10087
2025/1/6,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,8,15554
2025/1/6,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,6,14113
2025/1/6,惠居,省心租,微信小程序,西安,c 1000-5000,255,544896.3
2025/1/6,惠居,省心租,云闪付小程序,西安,c 1000-5000,3,5814
2025/1/6,惠居,省心租,支付宝APP,西安,c 1000-5000,220,470140.6
2025/1/6,惠居,省心租,快捷,西安,c 1000-5000,4,8735.5
2025/1/6,惠居,省心租,聚分期,西安,c 1000-5000,2,3045
2025/1/6,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,18,38192.7
2025/1/6,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,2,14034
2025/1/6,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,5,37692.76
2025/1/6,惠居,省心租,支付宝APP,西安,d 5000-10000,27,192895.66
2025/1/6,惠居,省心租,微信小程序,西安,d 5000-10000,17,122757.6
2025/1/6,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,9240
2025/1/6,惠居,省心租,微信小程序,西安,e 10000-20000,2,23166
2025/1/7,惠居,省心租,支付宝APP,西安,a <500,1,258.6
2025/1/7,惠居,省心租,微信小程序,西安,a <500,3,528
2025/1/7,惠居,省心租,快捷,西安,a <500,1,20
2025/1/7,惠居,省心租,贝易转网银转账收款,西安,a <500,3,7
2025/1/7,惠居,省心租,贝易转网银转账收款,西安,b 500-1000,1,788
2025/1/7,惠居,省心租,微信小程序,西安,b 500-1000,11,8035.4
2025/1/7,惠居,省心租,云闪付小程序,西安,b 500-1000,1,500
2025/1/7,惠居,省心租,支付宝APP,西安,b 500-1000,6,3987.5
2025/1/7,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,19,42301.8
2025/1/7,惠居,省心租,快捷,西安,c 1000-5000,8,16173
2025/1/7,惠居,省心租,微信小程序,西安,c 1000-5000,284,608828.31
2025/1/7,惠居,省心租,云闪付小程序,西安,c 1000-5000,4,7329
2025/1/7,惠居,省心租,支付宝APP,西安,c 1000-5000,242,510790.8
2025/1/7,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,18,39709
2025/1/7,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,7,15500.9
2025/1/7,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,1,7359
2025/1/7,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,4,26336
2025/1/7,惠居,省心租,快捷,西安,d 5000-10000,2,14214
2025/1/7,惠居,省心租,聚分期,西安,d 5000-10000,1,9240
2025/1/7,惠居,省心租,微信小程序,西安,d 5000-10000,30,204577.38
2025/1/7,惠居,省心租,支付宝APP,西安,d 5000-10000,22,151307.36
2025/1/7,惠居,省心租,支付宝APP,西安,e 10000-20000,2,23397
2025/1/8,惠居,省心租,支付宝APP,西安,a <500,3,1039
2025/1/8,惠居,省心租,贝易转直联收款至银行,西安,a <500,1,370
2025/1/8,惠居,省心租,微信小程序,西安,a <500,2,130.66
2025/1/8,惠居,省心租,贝易转网银转账收款,西安,a <500,2,6
2025/1/8,惠居,省心租,支付宝APP,西安,b 500-1000,8,6020
2025/1/8,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,2,1661
2025/1/8,惠居,省心租,微信小程序,西安,b 500-1000,10,6321
2025/1/8,惠居,省心租,快捷,西安,b 500-1000,1,985
2025/1/8,惠居,省心租,快捷,西安,c 1000-5000,11,22024.6
2025/1/8,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,18,37758.9
2025/1/8,惠居,省心租,支付宝APP,西安,c 1000-5000,228,504686.1
2025/1/8,惠居,省心租,微信小程序,西安,c 1000-5000,268,562572.99
2025/1/8,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,16,35193.5
2025/1/8,惠居,省心租,云闪付小程序,西安,c 1000-5000,1,1980
2025/1/8,惠居,省心租,银联线上支付,西安,c 1000-5000,1,1125
2025/1/8,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,7,15407.5
2025/1/8,惠居,省心租,微信小程序,西安,d 5000-10000,19,136771.95
2025/1/8,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,7659.36
2025/1/8,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,1,7776
2025/1/8,惠居,省心租,支付宝APP,西安,d 5000-10000,24,164602.32
